A:DF [1.00, 0.60, 0.50] 
A:DM [0.50, 0.90, 0.50] 
A:MF [0.00, 1.00, 0.75] 
A:AM [0.00, 0.95, 1.15] 
A:FW [0.00, 0.75, 1.50] 

C:DF [1.00, 0.50, 0.25]
C:DM [0.75, 0.85, 0.25]
C:MF [0.50, 1.00, 0.25]
C:AM [0.25, 0.85, 0.75]
C:FW [0.50, 0.50, 1.00]

D:DF [1.05, 0.25, 0.00] 
D:DM [0.90, 0.65, 0.00] 
D:MF [0.90, 0.75, 0.10] 
D:AM [0.55, 0.65, 0.50] 
D:FW [0.40, 0.25, 0.65] 

E:DF [1.00, 0.30, 0.40]
E:DM [0.75, 1.00, 0.15]
E:MF [0.25, 1.25, 0.40]
E:AM [0.15, 1.00, 0.75]
E:FW [0.20, 0.40, 0.95]

L:DF [1.10, 0.60, 0.10]
L:DM [0.75, 0.60, 0.50]
L:MF [0.50, 0.70, 0.65]
L:AM [0.30, 0.50, 1.00]
L:FW [0.10, 0.30, 1.30]

N:DF [1.00, 0.60, 0.20] 
N:DM [0.75, 0.70, 0.30] 
N:MF [0.45, 1.00, 0.45] 
N:AM [0.30, 0.70, 0.75] 
N:FW [0.20, 0.60, 1.00] 

P:DF [1.00, 0.75, 0.30]
P:DM [0.65, 0.85, 0.20]
P:MF [0.25, 1.00, 0.25]
P:AM [0.25, 0.85, 0.65]
P:FW [0.25, 0.75, 1.00]

T:DF [1.00, 0.50, 0.30]
T:DM [0.67, 0.87, 0.30]
T:MF [0.30, 1.00, 0.30]
T:AM [0.30, 0.87, 0.67]
T:FW [0.30, 0.30, 1.00]


E:DF [1.00, 0.40, 0.40]
E:DM [0.75, 1.00, 0.35]
E:MF [0.25, 1.25, 0.40]
E:AM [0.15, 1.00, 0.80]
E:FW [0.20, 0.40, 0.95]

EvsD:DF [1.00, 0.55, 0.65]
EvsD:DM [0.75, 1.10, 0.15]
EvsD:MF [0.25, 1.25, 0.40]
EvsD:AM [0.15, 1.10, 0.75]
EvsD:FW [0.20, 0.65, 0.95]

EvsT:DF [1.00, 0.55, 0.65]
EvsT:DM [0.75, 1.10, 0.15]
EvsT:MF [0.25, 1.25, 0.40]
EvsT:AM [0.15, 1.10, 0.75]
EvsT:FW [0.20, 0.65, 0.95]

CvsP:DF [1.00, 0.70, 0.25]
CvsP:DM [0.90, 0.85, 0.25]
CvsP:MF [0.50, 1.10, 0.25]
CvsP:AM [0.25, 0.95, 1.00]
CvsP:FW [0.50, 0.50, 1.00]

CvsA:DF [1.00, 0.70, 0.25]
CvsA:DM [0.90, 0.85, 0.25]
CvsA:MF [0.50, 1.10, 0.25]
CvsA:AM [0.25, 0.95, 1.00]
CvsA:FW [0.50, 0.50, 1.00]

CvsT:DF [1.00, 0.75, 0.50]
CvsT:DM [0.85, 0.85, 0.25]
CvsT:MF [0.50, 1.00, 0.75]
CvsT:AM [0.25, 0.85, 1.00]
CvsT:FW [0.50, 0.50, 1.00]

LvsN:DF [1.30, 0.60, 0.10]
LvsN:DM [0.95, 0.70, 0.50]
LvsN:MF [0.50, 0.70, 0.65]
LvsN:AM [0.30, 0.60, 1.20]
LvsN:FW [0.10, 0.30, 1.50]

LvsC:DF [1.30, 0.60, 0.10]
LvsC:DM [0.95, 0.70, 0.50]
LvsC:MF [0.50, 0.70, 0.65]
LvsC:AM [0.30, 0.60, 1.20]
LvsC:FW [0.10, 0.30, 1.50]

LvsT:DF [1.30, 0.50, 0.35]
LvsT:DM [0.85, 0.40, 0.50]
LvsT:MF [1.50, 0.50, 0.65]
LvsT:AM [0.30, 0.40, 0.90]
LvsT:FW [0.25, 0.25, 1.30]

AvsE:DF [1.00, 0.60, 0.50]
AvsE:DM [0.50, 0.95, 0.50]
AvsE:MF [0.00, 1.05, 0.85]
AvsE:AM [0.00, 1.00, 1.40]
AvsE:FW [0.00, 0.75, 2.00]

AvsD:DF [1.00, 0.60, 0.50]
AvsD:DM [0.50, 0.95, 0.50]
AvsD:MF [0.00, 1.05, 0.85]
AvsD:AM [0.00, 1.00, 1.40]
AvsD:FW [0.00, 0.75, 2.00]

AvsT:DF [1.00, 0.50, 0.50]
AvsT:DM [0.50, 0.90, 0.50]
AvsT:MF [0.00, 1.00, 0.75]
AvsT:AM [0.00, 0.90, 1.40]
AvsT:FW [0.00, 0.65, 2.00]

DvsL:DF [1.30, 0.25, 0.00]
DvsL:DM [1.15, 0.65, 0.00]
DvsL:MF [1.00, 0.75, 0.10]
DvsL:AM [0.65, 0.75, 0.50]
